SensorID: 5498,
Firmware Version: 1.5.5,

mm-dd,hh:mm:ss,SmO2 Live,SmO2 Averaged,THb,Lap,Session Ct,
2-11,14:2:25,44,44,13.17,4,37,
2-11,14:2:26,46,46,13.21,4,37,
2-11,14:2:26,44,44,13.18,4,37,
2-11,14:2:27,44,44,13.17,4,37,
2-11,14:2:27,44,44,13.17,4,37,
2-11,14:2:28,44,44,13.17,4,37,
2-11,14:2:28,45,45,13.19,4,37,
2-11,14:2:29,45,45,13.2,4,37,
2-11,14:2:29,46,46,13.22,4,37,
2-11,14:2:30,45,45,13.2,4,37,
2-11,14:2:30,44,44,13.19,4,37,
2-11,14:2:31,45,45,13.2,4,37,
2-11,14:2:31,44,44,13.18,4,37,
2-11,14:2:32,44,44,13.18,4,37,
2-11,14:2:32,42,42,13.16,4,37,
2-11,14:2:33,43,43,13.18,4,37,
2-11,14:2:33,44,44,13.19,4,37,
2-11,14:2:34,42,42,13.16,4,37,
2-11,14:2:34,44,44,13.21,4,37,
2-11,14:2:35,43,43,13.18,4,37,
2-11,14:2:35,43,43,13.18,4,37,
2-11,14:2:36,42,42,13.17,4,37,
2-11,14:2:36,44,44,13.21,4,37,
2-11,14:2:37,42,42,13.17,4,37,
2-11,14:2:37,43,43,13.2,4,37,
2-11,14:2:38,44,44,13.21,4,37,
2-11,14:2:38,42,42,13.19,4,37,
2-11,14:2:39,42,42,13.19,4,37,
2-11,14:2:39,41,41,13.16,4,37,
2-11,14:2:40,43,43,13.19,4,37,
2-11,14:2:40,42,42,13.18,4,37,
2-11,14:2:41,42,42,13.18,4,37,
2-11,14:2:41,42,42,13.18,4,37,
2-11,14:2:42,41,41,13.16,4,37,
2-11,14:2:42,41,41,13.17,4,37,
2-11,14:2:43,40,40,13.16,4,37,
2-11,14:2:43,41,41,13.17,4,37,
2-11,14:2:44,40,40,13.17,4,37,
2-11,14:2:44,40,40,13.16,4,37,
2-11,14:2:45,41,41,13.17,4,37,
2-11,14:2:45,42,42,13.2,4,37,
2-11,14:2:46,41,41,13.18,4,37,
2-11,14:2:46,41,41,13.18,4,37,
2-11,14:2:47,41,41,13.19,4,37,
2-11,14:2:47,41,41,13.18,4,37,
2-11,14:2:48,40,40,13.16,4,37,
2-11,14:2:48,40,40,13.18,4,37,
2-11,14:2:49,39,39,13.17,4,37,
2-11,14:2:49,40,40,13.18,4,37,
2-11,14:2:50,38,38,13.16,4,37,
2-11,14:2:50,39,39,13.17,4,37,
2-11,14:2:51,40,40,13.18,4,37,
2-11,14:2:51,40,40,13.19,4,37,
2-11,14:2:52,40,40,13.17,4,37,
2-11,14:2:52,41,41,13.2,4,37,
2-11,14:2:53,40,40,13.19,4,37,
2-11,14:2:53,40,40,13.19,4,37,
2-11,14:2:54,40,40,13.2,4,37,
2-11,14:2:54,38,38,13.17,4,37,
2-11,14:2:55,39,39,13.18,4,37,
2-11,14:2:55,40,40,13.18,4,37,
2-11,14:2:56,40,40,13.19,4,37,
2-11,14:2:56,38,38,13.17,4,37,
2-11,14:2:57,39,39,13.19,4,37,
2-11,14:2:57,38,38,13.17,4,37,
2-11,14:2:58,37,37,13.17,4,37,
2-11,14:2:58,39,39,13.19,4,37,
2-11,14:2:59,38,38,13.17,4,37,
2-11,14:2:59,38,38,13.18,4,37,
2-11,14:3:0,38,38,13.18,4,37,
2-11,14:3:0,38,38,13.18,4,37,
2-11,14:3:1,38,38,13.18,4,37,
2-11,14:3:1,38,38,13.18,4,37,
2-11,14:3:2,38,38,13.18,4,37,
2-11,14:3:2,38,38,13.18,4,37,
2-11,14:3:3,38,38,13.19,4,37,
2-11,14:3:3,38,38,13.19,4,37,
2-11,14:3:4,37,37,13.17,4,37,
2-11,14:3:4,38,38,13.2,4,37,
2-11,14:3:5,36,36,13.17,4,37,
2-11,14:3:5,37,37,13.18,4,37,
2-11,14:3:6,38,38,13.18,4,37,
2-11,14:3:6,36,36,13.16,4,37,
2-11,14:3:7,36,36,13.17,4,37,
2-11,14:3:7,37,37,13.18,4,37,
2-11,14:3:8,36,36,13.17,4,37,
2-11,14:3:8,36,36,13.18,4,37,
2-11,14:3:9,37,37,13.19,4,37,
2-11,14:3:9,36,36,13.18,4,37,
2-11,14:3:10,38,38,13.2,4,37,
2-11,14:3:10,38,38,13.2,4,37,
2-11,14:3:11,38,38,13.21,4,37,
2-11,14:3:11,37,37,13.19,4,37,
2-11,14:3:12,36,36,13.18,4,37,
2-11,14:3:12,36,36,13.18,4,37,
2-11,14:3:13,35,35,13.17,4,37,
